CONTROLE,PRODUTO,UNITARIO,QUANTIDADE,CUSTO
10000195,1024,0.50,10.000,0.00
10000196,1428,2.50,1.000,0.00
10000196,1444,1.30,1.000,0.00
10000196,1406,2.10,1.000,0.00
10000197,336,2.00,3.000,0.00
10000198,1111,14.00,1.000,0.00
10000199,1242,0.37,60.000,0.00
10000199,1241,2.00,10.000,0.00
10000199,20,1.50,50.000,0.00
10000200,926,0.80,1.000,0.00
10000201,555,5.00,1.000,0.00
10000201,161,2.00,1.000,0.00
10000201,1680,0.10,6.000,0.00
10000201,981,2.00,1.000,0.00
10000201,1666,1.30,1.000,0.00
10000202,149,4.00,1.000,0.00
10000203,71,8.00,1.000,0.00
10000204,1241,2.00,2.000,0.00
10000204,71,8.00,1.000,0.00
10000204,335,0.50,15.000,0.00
10000204,20,1.50,1.000,0.00
10000205,523,5.00,1.000,0.00
10000206,1111,14.00,1.000,0.00
10000207,1025,9.00,1.000,0.00
10000208,1650,1.00,1.000,0.00
10000208,968,1.00,1.000,0.00
10000209,20,1.50,1.000,0.00
10000210,1055,10.00,1.000,0.00
10000210,71,8.00,1.000,0.00
10000210,693,8.00,2.000,0.00
10000210,64,5.30,1.000,0.00
10000210,981,2.00,1.000,0.00
10000211,1428,2.50,3.000,0.00
10000211,1444,1.30,10.000,0.00
10000212,326,4.00,1.000,0.00
10000213,1158,11.00,1.000,0.00
10000214,763,5.00,1.000,0.00
10000214,326,4.00,1.000,0.00
10000215,677,1.20,2.000,0.00
10000215,1385,13.60,1.000,0.00
10000215,1335,5.00,2.000,0.00
10000215,1225,12.10,1.000,0.00
10000215,1506,2.10,1.000,0.00
10000215,1131,9.00,1.000,0.00
10000216,1302,4.50,1.000,0.00
10000216,1573,2.30,1.000,0.00
10000216,1566,3.30,1.000,0.00
10000216,197,0.80,4.000,0.00
10000216,267,0.30,4.000,0.00
10000216,465,2.50,1.000,0.00
10000216,906,3.80,1.000,0.00
10000217,788,4.80,1.000,0.00
10000218,1110,45.00,1.000,0.00
10000218,633,0.80,10.000,0.00
10000218,12,4.50,5.000,0.00
10000219,1146,6.60,1.000,0.00
10000220,323,10.00,1.000,0.00
10000221,160,4.50,1.000,0.00
10000221,693,8.00,1.000,0.00
10000221,1043,8.00,1.000,0.00
10000222,333,20.50,4.000,0.00
10000222,326,4.00,6.000,0.00
10000222,1244,0.39,100.000,0.00
10000222,20,1.50,25.000,0.00
10000223,12,4.50,1.000,0.00
10000224,333,20.50,4.000,0.00
10000225,1773,1.00,3.000,0.00
10000226,714,3.00,1.000,0.00
10000227,866,7.50,1.000,0.00
10000228,335,0.50,25.000,0.00
10000229,197,0.80,2.000,0.00
10000229,198,1.60,1.000,0.00
10000229,1381,0.50,1.000,0.00
10000229,1228,0.40,1.000,0.00
10000229,1483,3.20,1.000,0.00
10000229,1480,3.00,1.000,0.00
10000230,1209,6.40,3.000,0.00
10000231,73,0.60,5.000,0.00
10000231,1450,1.45,2.000,0.00
10000232,20,1.50,100.000,0.00
10000233,20,1.50,50.000,0.00
10000234,593,2.90,2.000,0.00
10000234,20,1.50,100.000,0.00
10000234,333,20.50,6.000,0.00
10000234,763,5.00,4.000,0.00
10000234,525,21.60,1.000,0.00
10000235,1111,14.00,2.000,0.00
10000235,12,4.50,1.000,0.00
10000235,970,2.30,1.000,0.00
10000235,676,0.30,5.000,0.00
10000236,149,4.00,4.000,0.00
10000237,20,1.50,25.000,0.00
10000237,1242,0.37,50.000,0.00
10000237,1241,2.00,3.000,0.00
10000237,333,20.50,2.000,0.00
10000238,876,1.70,3.000,0.00
10000238,333,20.50,1.000,0.00
10000238,20,1.50,10.000,0.00
10000239,74,12.50,1.000,0.00
10000239,893,1.00,3.000,0.00
10000239,900,1.00,6.000,0.00
10000240,457,9.00,1.000,0.00
10000240,60,0.80,2.000,0.00
10000240,515,3.50,1.000,0.00
10000240,128,2.00,1.000,0.00
10000241,336,2.00,3.000,0.00
10000242,73,0.60,5.000,0.00
10000243,1560,5.30,1.000,0.00
10000244,407,4.50,1.000,0.00
10000244,939,14.00,1.000,0.00
10000244,943,18.00,1.000,0.00
10000245,333,20.50,4.000,0.00
10000245,926,0.80,1.000,0.00
10000246,1242,0.37,100.000,0.00
10000247,1024,0.50,20.000,0.00
10000248,1236,5.00,1.000,0.00
10000249,269,0.40,10.000,0.00
10000250,1170,2.30,1.000,0.00
10000251,333,20.50,10.000,0.00
10000252,197,0.80,1.000,0.00
10000252,1588,7.00,1.000,0.00
10000253,20,1.50,6.000,0.00
10000254,1024,0.50,10.000,0.00
10000255,326,4.00,2.000,0.00
10000255,333,20.50,1.000,0.00
10000256,1110,45.00,1.000,0.00
10000257,20,1.50,10.000,0.00
