NCM,DESCRICAO
68042300,OUTROS MOS E ARTEFATOS SEMELHANTES
68042301,"MOS DE PEDRAS NATURAIS,DIAMETRO<53,34CM"
68042399,"MOS DE PEDRAS NATURAIS,DIAMETRO>=53,34CM"
68043000,"PEDRAS P/AMOLAR OU POLIR,MANUALMENTE"
68051000,"ABRASIVOS NAT/ARTIF.EM PO/GRAO,APLIC.EM TECIDO MAT.TEXT"
68051001,"ABRASIVO APLICADO EM TECIDO DE MATERIA TEXTIL,P/METAIS"
68051099,"ABRASIVO APLICADO EM TECIDO DE MATERIA TEXTIL,P/OUT.USO"
68052000,"ABRASIVOS NAT/ARTIF.EM PO/GRAO,APLIC.EM PAPEL/CARTAO"
68052001,"ABRASIVO APLICADO EM PAPEL/CARTAO,P/METAIS"
68052002,"ABRASIVO APLICADO EM PAPEL/CARTAO,P/MADEIRA"
68052003,"ABRASIVO APLICADO EM PAPEL/CARTAO,P/UNHAS"
68052004,"ABRASIVO APLICADO EM PAPEL/CARTAO,P/USO ODONTOLOGICO"
68052005,"ABRASIVO APLICADO EM PAPEL/CARTAO,P/LAPIDACAO"
68052099,"ABRASIVO APLICADO EM PAPEL/CARTAO,P/OUTS.FINS"
68053000,"ABRASIVO NATURAL/ARTIFICIAL,APLICADO EM OUT.MATERIA"
68053010,ABRASIVOS NAT/ARTIF.C/SUPORTE PAPEL/CARTAO C/MAT.TEXTIL
68053020,DISCOS ABRASIVOS DE FIBRA VULCAN.RECOB.OXIDO ALUMIN.ETC
68053090,OUTROS ABRASIVOS NAT/ARTIF.EM PO/GRAOS APLIC.OUT.MATER.
68061000,"LA DE ESCORIAS/ROCHAS/MINERAIS,EM BLOCOS/FOLHAS/ROLOS"
68062000,"VERMICULITA E ARGILAS,EXPANDIDAS,ESPUMA DE ESCORIAS,ETC"
68062001,VERMICULITA EXPANDIDA
68062002,ARGILAS EXPANDIDAS
68062003,"MISTURA DE PRODUTOS MINERAIS,EXPANDIDAS"
68062099,ESPUMAS DE ESCORIAS E OUTS.PRODUTOS MINERAIS SEMELHS.
68069000,"MISTURA/OBRAS DE MATERIA MINERAL,P/ISOLAMENTO CALOR/SOM"
68069010,PRODUTOS MINERAIS ALUMINOSOS OU SILICOALUMINOS
68069090,"OUTRAS OBRAS DE MATER.MINERAIS P/ISOLAM.CALOR,SOM,ETC."
68071000,"OBRAS DE ASFALTO/PRODUTOS SEMELHS,EM ROLOS"
68079000,OUTRAS OBRAS DE ASFALTO OU DE PRODUTOS SEMELHANTES
68079001,"PECAS ANTI-RUIDO,P/AUTOMOVEIS (MASTIQUES)"
68079002,"TELAS/CHAPAS ASFALTICAS,P/TETOS OU TELHADOS"
68079099,OUTS.OBRAS DE ASFALTO OU DE PRODUTOS SEMELHS.
68080000,PAINEIS/ETC.DE FIBRA VEGETAL/ETC.AGLOMERADO C/CIMENTO/
68091100,"CHAPAS/ETC.DE GESSO REVEST.C/PAPEL/CARTAO,N/ORNAMENTADO"
68091900,"OUTS.CHAPAS/PLACAS/PAINEIS/ETC.DE GESSO,N/ORNAMENTADAS"
68099000,OUTS.OBRAS DE GESSO/COMPOSICOES A BASE DE GESSO
68101100,"BLOCOS/TIJOLOS P/CONSTRUCAO,DE CIMENTO/CONCRETO/ETC."
68101900,"OUTRAS TELHAS,LADRILHOS,SEMELHS.DE CIMENTO,CONCRETO,ETC"
68101901,LADRILHO DE CIMENTO/CONCRETO/PEDRA ARTIFICIAL
68101902,"TELHAS/CUMEEIRAS,DE CIMENTO/CONCRETO/PEDRA ARTIFICIAL"
68101999,LAJES/ARTEFATOS SEMELHS.DE CIMENTO/CONCRETO/PEDRA ARTIF
68102000,TUBO DE CIMENTO/CONCRETO/PEDRA ARTIFICIAL
68109100,"ELEMENTOS PRE-FABR.P/CONSTRUCAO,DE CIMENTO,CONCRETO,ETC"
68109101,"CHAPAS DE CIMENTO/CONCRETO/ETC.ONDULADAS,P/CONSTRUCAO"
68109102,ACESSORIOS P/TUBOS DE CIMENTO/CONCRETO/ETC.P/CONSTRUCAO
68109103,"CAIXILHOS/PAINEIS/ETC.P/CONSTRUCAO,DE CIMENTO/CONCRETO/"
68109199,"OUTS.ELEMENTOS PRE-FABR.P/CONSTRUCAO,DE CIMENTO/ETC."
68109900,"OUTRAS OBRAS DE CIMENTO,CONCRETO OU DE PEDRA ARTIFICIAL"
68109901,"TANQUES/RESERVATORIOS,DE CIMENTO/CONCRETO/PEDRA ARTIF."
68109902,POSTES DE CIMENTO/DE CONCRETO/DE PEDRA ARTIFICIAL
68109999,OUTS.OBRAS DE CIMENTO/CONCRETO/PEDRA ARTIFICIAL
68111000,"CHAPAS ONDULADAS DE FIBROCIMENTO,CIMENTO-CELULOSE,ETC."
68111001,"CHAPAS DE FIBROCIMENTO (AMIANTO-CIMENTO),ONDULADAS"
68111099,CHAPAS DE CIMENTO-CELULOSE/PRODUTOS SEMELHS.ONDULADAS
68112000,"OUTRAS CHAPAS E SEMELH.DE FIBROCIMENTO,CIMENTO-CELULOSE"
68112001,"CAIXILHOS/PAINEIS/ETC.P/CONSTRUCAO,DE FIBROCIMENTO"
68112099,"CHAPAS/LADRILHOS/ETC.DE CIMENTO-CELULOSE,N/ONDULADAS"
68113000,"TUBO,CONDUTO E ACESS.DE FIBROCIMENTO,CIMENTO-CELULOSE"
68113001,"TUBO/CONDUTO/ACESSORIOS,DE FIBROCIMENTO"
68113099,"TUBO/CONDUTO/ACESSORIOS,DE CIMENTO-CELULOSE"
68119000,"OUTRAS OBRAS DE FIBROCIMENTO,CIMENTO-CELULOSE E SEMELH."
68119001,"TANQUES/RESERVATORIOS,DE FIBROCIMENTO (AMIANTO-CIMENTO)"
68119099,OUTS.OBRAS DE CIMENTO-CELULOSE/PRODUTOS SEMELHS.
68121001,"AMIANTO (ASBESTO),TRABALHADO,EM FIBRAS"
68121010,"AMIANTO (ARBESTO) EM FIBRAS,TRABALHADO"
68121020,MISTURAS DE AMIANTO OU AMIANTO E CARBONATO DE MAGNESIO
68121099,"MISTURA DE AMIANTO,AMIANTO/CARBONATO MAGNESESIO"
68122000,FIO DE AMIANTO
68123000,"CORDAS/CORDOES,DE AMIANTO,ENTRACADOS OU NAO"
68124000,"TECIDO E TECIDOS DE MALHA,DE AMIANTO"
68125000,"VESTUARIO E ACESS.CALCADOS,ETC.DE AMIANTO/DAS MISTURAS"
68125001,LUVAS DE AMIANTO
68125002,CALCADOS DE AMIANTO
68125003,CHAPEUS/ARTEFATOS SEMELHS.DE AMIANTO
68126000,"PAPEIS,CARTOES E FELTROS,DE AMIANTO OU DAS MISTURAS"
68126001,"PAPEL/CARTAO,DE AMIANTO"
68126099,FELTRO DE AMIANTO
68127000,"FOLHAS COMPRIMIDAS,DE AMIANTO/ELASTOMERO,P/JUNTAS"
68129001,"GAXETAS/JUNTAS E ARRUELAS,DE AMIANTO"
68129002,"TUBO DE AMIANTO,E SEUS ACESSORIOS"
68129003,"PLACA FILTRANTE,DE AMIANTO,P/FABR.VACINA C/FEBRE AFTOSA"
68129010,"JUNTAS E OUTS.ELEMENTOS,DE AMIANTO,C/FUNCAO DE VEDACAO"
68129090,OUTRAS OBRAS DE AMIANTO OU DAS MISTURAS
68129099,OUTS.OBRAS DE AMIANTO/MISTURAS DE AMIANTO
68131001,"LONAS DE FREIO A TAMBOR,DE AMIANTO,C/METAL,EM ROLOS"
68131002,"PASTILHAS DE AMIANTO,P/FREIO A DISCO,N/MONTADAS"
68131010,"PASTILHAS NAO MONTADAS,PARA FREIOS,DE AMIANTO,ETC."
68131090,"OUTRAS GUARNICOES NAO MONTADAS,P/FREIOS,DE AMIANTO,ETC."
68131099,OUTS.GUARNICOES DE AMIANTO/ETC.DE FRICCAO P/FREIOS
68139001,"DISCOS DE FRICCAO,P/EMBREAGEM DE AUTOMOVEIS,DE AMIANTO/"
68139010,"DISCOS DE FRICCAO,N/MONTAD.P/EMBREAGENS,DE AMIANTO,ETC."
68139090,"OUTS.GUARNICOES N/MONTADAS,P/EMBREAGENS,ETC.DE AMIANTO,"
68139099,OUTS.GUARNICOES DE AMIANTO/ETC.DE FRICCAO
68141000,"PLACAS/FOLHAS/TIRAS,DE MICA AGLOMERADA/RECONSTITUIDA"
68149000,OUTRAS OBRAS DE MICA OU MICA TRABALHADA
68149001,ARRUELAS DE MICA
68149099,OUTS.OBRAS DE MICA
68151001,"ANEIS DE GRAFITA,PARA USO NAO ELETRICO"
68151002,"OBRAS DE FIBRA CARBONO C/RESINA EPOXIDA,P/AERONAUTICA"
68151003,"FIBRAS DE CARBONO,PARA USO NAO ELETRICO"
68151004,"TECIDO FIBRA DE CARBONO,C/S BORRACHA,P/USO N/ELETRICO"
68151010,"FIBRAS DE CARBONO,PARA USO NAO ELETRICO"
68151020,"TECIDOS DE FIBRAS DE CARBONO,PARA USO NAO ELETRICO"
68151090,"OUTRAS OBRAS DE GRAFITA/OUTRAS CARBONOS,P/USO NAO ELETR"
68151099,"OUTS.OBRAS DE GRAFITA/OUTS.CARBONOS,P/USO N/ELETRICO"
68152000,OBRAS DE TURFA
68159101,"TIJOLOS/LADRILHOS/ETC.CRUS,C/MAGNESITA/DOLOMITA/CROMITA"
68159110,"OBRAS CONT.MAGNESITA,ETC.CRUS,AGLOMER.C/AGLUTIN.QUIM."
68159190,"OUTRAS OBRAS CONTENDO MAGNESITA,DOLOMITA OU CROMITA"
68159199,OUTS.OBRAS COM MAGNESITA/DOLOMITA/CROMITA
68159901,"TIJOLOS/ETC.ELETROFUNDIDOS,C/OUT.MATERIA MINERAL"
68159911,"OBRAS DE PEDRAS ELETROFUNDIDAS,C/TEOR DE ALUMINA>=90%"
68159912,"OBRAS DE PEDRAS ELETROFUNDIDAS,C/TEOR DE SILICA>=90%"
68159913,"OBRAS DE PEDRAS ELETROFUND.TEOR OXIDO ZIRCONIO>=50%,ETC"
68159914,OBRAS DE PEDRAS ELETROFUND.ALUMINA+SILICA+OXID.ZIRCONIO
68159919,"OUTS.OBRAS DE PEDRAS/MATERIAS MINERAIS,ELETROFUNDIDAS"
68159990,OUTRAS OBRAS DE PEDRAS OU DE OUTRAS MATERIAS MINERAIS
68159999,OUTS.OBRAS COM PEDRA/OUTS.MATERIAS MINERAIS
69010000,TIJOLOS/OUTS.PECAS CERAM.DE FARINHAS SILICIOSAS FOSSEIS
69010001,TIJOLO DE DIATOMITA
69010099,"OUTS.PECAS CERAMICAS,DE FARINHA SILICIOSA FOSSIL"
69021001,TIJOLO MAGNESIANO DE DOLOMITA/ETC.CONT>50% DE MG/CA/CR
69021011,"TIJOLOS REFRATARIOS,MAGNESIANOS OU DE OXIDO CROMO>50%"
69021019,OUTRAS PECAS CERAM.REFRAT.MAGNESIANAS OU DE OXIDO CROMO
69021090,OUTRAS PECAS CERAM.REFRAT.COM MAGNESIO/CALCIO/CROMO>50%
69021099,"OUTS.PECAS CERAMS.MAGNESIANA DOLOMITA,CONT>50%MG/CA/CR"
69022001,"TIJOLO ALUMINOSO,INCL.ISOLANTE/ANTIACIDO,CONT>50%AL2O3"
69022010,"TIJOLOS REFRATARIOS,SILICO-ALUMINOSOS"
69022091,OUTRAS PECAS CERAM.REFRATAR.SILICO-ALUMINOSOS
69022092,OUTRAS PECAS CERAM.REFRAT.SILICOSA/SEMI-SILICOSA/SILICA
69022093,OUTRAS PECAS CERAM.REFRAT.SILIMANITA/CARBONETO SILICIO
69022099,"OUTS.PRODS.CERAM.ALUMINOSOS,INCL.ISOLANTES/ANTIACIDOS"
69029001,"TIJOLO DE GRAFITA/CARVAO GRAFITADO,REFRAT.P/CONSTRUCAO"
69029010,TIJOLOS E OUTRAS PECAS CERAM.REFRATAR.DE GRAFITA
69029020,"TIJOLOS E OUTRAS PECAS CERAM.REFRAT.N/FUNDIDOS,ZRO2>25%"
69029030,"PECAS CERAM.REFRAT.C>85%,DIAM<=5MICRONS,UTIL.ALTO-FORNO"
69029090,"OUTROS TIJOLOS E PECAS CERAMICAS P/CONSTRUCAO,REFRATAR."
69029099,OUTS.PRODS.CERAM.DE GRAFITA/CARVAO GRAFIT.P/CONSTRUCAO
69031001,"CADINHOS REFRATARIOS,DE GRAFITA (>50%)"
69031002,"TAMPAS/TAMPOES,DE GRAFITA/CARBONO/ETC(>50%),REFRATARIOS"
69031003,"TUBO DE GRAFITA/CARBONO/MISTURA(>50%),REFRATARIO"
69031011,"CADINHOS REFRATARIOS,DE GRAFITA"
69031012,"CADINHOS REFRATARIOS,DE GRAFITA C/CARBONETO DE SILICIO"
69031019,"OUTROS CADINHOS REFRATARIOS,DE GRAFITA/OUT.CARBONO>50%"
69031020,"RETORTAS REFRATARIAS,DE GRAFITA C/CARBONETO DE SILICIO"
69031030,"TAMPAS/TAMPOES,REFRATAR.DE GRAFITA OU OUTRO CARBONO>50%"
69031040,"TUBO REFRATARIO,DE GRAFITA/OUTRO CARBONO OU MISTURA>50%"
69031090,OUTROS PRODS.CERAM.REFRAT.DE GRAFITA OU OUT.CARBONO>50%
69031099,OUTS.PRODS.CERAM.REFRAT.DE GRAFITA/CARBONO/ETC(>50%)
69032001,"CADINHOS REFRATARIOS,DE ALUMINA/SILICA(>50%)"
69032002,"TAMPAS/TAMPOES,DE ALUMINA/SILICA(>50%),REFRATARIOS"
69032003,"TUBO DE ALUMINA/SILICA(>50%),REFRATARIOS"
69032010,"CADINHOS REFRATARIOS,DE ALUMINA OU ALUMINA C/SILICA>50%"
69032020,"TAMPAS/TAMPOES,REFRATAR.DE ALUMINA/ALUMINA C/SILICA>50%"
69032030,"TUBO REFRATARIO,DE ALUMINA OU ALUMINA COM SILICA>50%"
69032090,OUTS.PRODS.CERAM.REFRAT.DE ALUMINA/ALUMINA C/SILICA>50%
69032099,"OUTS.PRODS.CERAM.DE ALUMINA/SILICA(>50%),REFRATARIOS"
69039001,OUTS.CADINHOS CERAMICOS REFRATARIOS
69039002,OUTS.TAMPAS/TAMPOES CERAMICOS REFRATARIOS
69039003,"OUTS.TUBOS CERAMICOS,REFRATARIOS"
69039011,"TUBO REFRATARIO,DE CARBONETO DE SILICIO"
69039012,"TUBO REFRATARIO,DE COMPOSTOS DE ZIRCONIO"
69039019,OUTROS TUBOS CERAMICOS REFRATARIOS
69039091,OUTROS PRODUTOS CERAM.REFRAT.DE CARBONETO DE SILICIO
69039092,OUTROS PRODUTOS CERAM.REFRAT.DE COMPOSTOS DE ZIRCONIO
69039099,OUTS.PRODS.CERAMICOS REFRATARIOS
69041000,"TIJOLO DE CERAMICA,PARA CONSTRUCAO"
69049000,"TIJOLEIRAS/TAPAVIGA/SEMELHS.DE CERAMICA,P/CONSTRUCAO"
69051000,"TELHAS DE CERAMICA,PARA CONSTRUCAO"
69059000,"ELEMENTOS DE CHAMINES/ETC.DE CERAMICA,P/CONSTRUCAO"
69060000,"TUBO/CALHA/ALGEROZ/ACESS.DE CERAMICA,P/CANALIZACAO"
69071000,"LADRILHO/ETC.DE CERAMICA,N/VIDRADO,N/ESMALTADO,LADO<7CM"
69079000,OUTS.LADRILHOS/ETC.DE CERAM.P/PAVIM/REVEST.N/VIDRADO/
69081000,"LADRILHOS,ETC.DE CERAMICA,VIDRADOS,ESMALTADOS,LADO<7CM"
69081001,"PASTILHAS DE CERAMICA,VIDRADAS/ESMALTADAS,LADO<7CM"
69081099,"LADRILHO/ETC.DE CERAMICA,VIDRADO/ESMALTADO,LADO<7CM"
69089000,"OUTROS LADRILHOS,ETC.DE CERAMICA,VIDRADOS,ESMALTADOS"
69089001,"AZULEJO/LADRILHO,DE CERAMICA,VIDRADO,DECORADO.LADO>=7CM"
69089099,"OUTS.PASTILHAS/ETC.DE CERAMICA,LADO>=7CM"
69091100,"APARELHOS E ARTEFATOS DE PORCELANA,P/USO QUIM/TECNICO"
69091101,"APARS/ARTEFS.DE PORCELANA,P/USO QUIMICO/LABORATORIO"
69091199,"GUIA-FIOS DE PORCELANA,P/MAQUINA TEXTIL"
69091210,"GUIA-FIOS P/MAQS.TEXT.DUREZA>=9MOHS,DE OUTS.CERAMICAS"
69091220,"GUIAS DE AGULHAS,P/CABECAS IMPR.D>=9MOHS,DE OUTS.CERAM."
69091290,"OUTS.ARTEFATOS DE CERAMICA,EXC.PORCELANA,DUREZA>=9MOHS"
69091901,"APARS/ARTEFS.DE OUT.CERAMICA,P/USO QUIMICO/LABORATORIO"
69091902,"NUCLEO CERAMICO DE ALUMINA,P/BICO DE PULVERIZ.AGRICOLA"
69091910,OUTROS GUIA-FIOS P/MAQS.TEXT.DE CERAMICA EXC.PORCELANA
69091920,"OUTS.GUIAS DE AGULHAS P/CABECAS IMPRESSAO,DE OUTS.CERAM"
69091930,"COLMEIA DE CERAM.DE ALUMINA,SILICA E OXIDO MAGNESIO,ETC"
69091990,"OUTROS APARELHOS E ARTEF.DE CERAMICA,P/USO QUIM/TECNICO"
69091999,"GUIA-FIOS DE CERAMICA,P/MAQ.TEXTIL,EXC.PORCELANA"
69099000,ALGUIDAR/VASILHA/ETC.DE CERAMICA P/USO RURAL/TRANSPORTE
69101000,PIAS/LAVATORIOS/BANHEIRAS/BIDES/ETC.DE PORCELANA
69109000,"PIAS/LAVATORIOS/BANHEIRAS/ETC.DE CERAMICA,EXC.PORCELANA"
69111001,CONJUNTO P/JANTAR/CAFE/ETC.DE PORCELANA
69111002,PRATOS DE PORCELANA
69111003,"CANECAS/XICARAS COM/SEM PIRES,DE PORCELANA"
69111010,"CONJUNTO P/JANTAR/CAFE/CHA,DE PORCELANA,EMBALAGEM COMUM"
69111090,"OUTROS ARTIGOS P/SERVICO DE MESA/COZINHA,DE PORCELANA"
69111099,"OUTS.ARTEFS.P/SERVICO DE MESA/COZINHA,DE PORCELANA"
69119000,"OUTS.ARTIGOS DE USO DOMESTICO,HIGIENE,ETC.DE PORCELANA"
69119001,"PES DE PORCELANA,P/GELADEIRAS/FOGOES/SEMELHS."
69119099,"OUTS.ARTEFS.DE USO DOMESTICO,DE PORCELANA"
69120000,"LOUCAS/OUTS.ARTIGOS,USO DOMESTICO,ETC.DE OUTS.CERAMICAS"
69120001,"CONJUNTO P/JANTAR/CAFE/ETC.DE CERAMICA,EXC.PORCELANA"
69120002,"TALHAS (POTES) DE CERAMICA,EXC.PORCELANA"
69120099,"OUTS.ARTEFS.DE USO DOMESTICO,DE OUT.CERAMICA"
69131000,"ESTATUETAS/OBJETOS DE ORNAMENTACAO,DE PORCELANA"
69139000,ESTATUETAS/OUTS.OBJETOS ORNAMENT.DE CERAM.EXC.PORCELANA
69139001,"ESTATUETAS/OBJETOS DE ORNAMENTACAO,DE FAIANCA"
69139002,"ESTATUETAS/OBJETOS DE ORNAMENTACAO,DE BARRO"
69139099,"ESTATUETAS/OBJETOS DE ORNAMENTACAO,DE OUT.CERAMICA"
69141000,OUTS.OBRAS DE PORCELANA
69149000,"OUTRAS OBRAS DE CERAMICA,EXCETO PORCELANA"
69149001,FORNOS DE FAIANCA
69149002,"VELAS OCAS DE OUTS.CERAMICAS,P/FILTRO DOMESTICO"
69149099,"OUTS.OBRAS DE CERAMICA,EXC.DE PORCELANA"
70010000,CACOS/OUTROS RESIDS.DE VIDRO E VIDRO EM BLOCOS/MASSAS
70010001,"BLOCO DE VIDRO OPTICO,PRENSADO,BRANCO,P/LENTE CORRETIVA"
70010002,BLOCO/LINGOTE/ETC.DE VIDRO EXC.OPTICO
70010003,CACOS/FRAGMENTOS/DESPERDICIOS/ETC.DE VIDRO EXC.OPTICO
70010099,"OUTS.BLOCOS/LINGOTES/MASSAS,DE VIDRO OPTICO"
70021000,"ESFERAS DE VIDRO,NAO TRABALHADO"
70021001,ESFERAS DE VIDRO OPTICO
70021099,"ESFERAS DE VIDRO,EXC.OPTICO"
70022000,"BARRAS OU VARETAS,DE VIDRO,NAO TRABALHADO"
70022001,"BARRA DE VIDRO/VARETA DE VIDRO,OPTICOS"
70022099,"BARRA DE VIDRO/VARETA DE VIDRO,EXC.OPTICOS"
70023100,"TUBOS DE VIDRO,DE QUARTZO/OUT.SILICA,FUNDIDOS,N/TRABALH"
70023101,"TUBO DE VIDRO OPTICO,DE QUARTZO/OUT.SILICA,FUNDIDOS"
70023102,"TUBO DE VIDRO ESMALTE ,DE QUARTZO/OUT.SILICA,FUNDIDOS"
70023199,"TUBO CAPILAR,DE QUARTZO/OUT.SILICA,FUNDIDOS"
70023200,"TUBOS DE OUTS.VIDROS,DILAT.LIN<=0000005/KELV.N/TRABALH"
70023201,"TUBO DE VIDRO OPTICO,COEF.DILAT.LINEAR<=0000005/KELVIN"
70023202,"TUBO DE VIDRO ESMALTE ,COEF.DILAT.LIN<=0000005/KELVIN"
70023299,"TUBO CAPILAR,DE VIDRO,COEF.DILAT.LIN<=0000005/KELVIN"
70023900,"TUBOS DE OUTROS VIDROS,NAO TRABALHADOS"
70023901,"TUBO DE OUTS.VIDROS OPTICOS,NAO TRABALHADO"
70023902,"TUBO DE OUTS.VIDROS ESMALTE ,N/TRABALHADO"
70023999,"TUBO CAPILAR,DE OUT.VIDRO,NAO TRABALHADO"
70031101,"VIDRO OPTICO VAZADO,EM CHAPAS/FLS.N/ARMADO,CORADO/ETC."
70031102,"VIDRO VAZADO,EM CHAPAS/FLS.N/ARMAD.CORADO,QUADRADO,LISO"
70031199,"OUTS.VIDROS VAZADOS,EM CHAPAS/FLS.N/ARMADO,CORADO/ETC."
70031200,"CHAPAS/FLS.N/ARMADAS,DE VIDRO VAZADO/LAMIN.CORADAS,ETC."
70031900,"OUTS.CHAPAS E FOLHAS,NAO ARMADAS,DE VIDRO VAZADO/LAMIN."
70031901,"VIDRO OPTICO VAZADO,EM CHAPAS/FLS.N/ARMADO,N/CORADO"
70031902,"VIDRO VAZADO,EM CHAPAS/FLS.N/ARMADO,N/CORADO,QUADR.LISO"
70031999,"OUTS.VIDROS VAZADOS,EM CHAPAS/FLS.N/ARMADO,N/CORADO/ETC"
70032000,"CHAPAS/FLS.ARMADAS,DE VIDRO VAZADO/LAMIN."
70032001,"VIDRO VAZADO,EM CHAPAS/FLS.ARMADO,QUADRADO/RETANGULAR"
70032099,"OUTS.VIDROS VAZADOS,EM CHAPAS/FLS.ARMADOS"
70033000,"VIDRO VAZADO/LAMINADO,EM PERFIS"
70041001,"VIDRO OPTICO,ESTIRADO/SOPRADO,EM FLS.CORADO/OPACIFICADO"
70041002,"VIDRO ESTIRADO/SOPRADO,EM FLS.CORADO,QUADR.LISO,E<=1MM"
70041099,"OUTS.VIDROS ESTIRADOS/SOPRADOS,EM FLS.CORADO/ETC."
70042000,"FOLHAS DE VIDRO ESTIRADO/SOPRADO,CORADO NA MASSA,ETC."
70049000,OUTRAS FOLHAS DE VIDRO ESTIRADO OU SOPRADO
70049001,"VIDRO OPTICO,ESTIRADO/SOPRADO,EM FLS.N/CORADO,N/OPACIF."
70049002,"VIDRO ESTIRADO,EM FLS.N/CORADO/ETC.QUADRADO,LISO,E<=1MM"
70049099,"OUTS.VIDROS ESTIRADOS/SOPRADOS,EM FLS.N/CORADO/ETC."
70051000,"CHAPAS/FLS.DE VIDRO FLOTADO,ETC.N/ARMADAS,CAMADA ABSORV"
70051001,"VIDRO OPTICO,FLOTADO,EM CHAPAS/FLS.N/ARMADO,CAMADA REFL"
70051002,"VIDRO FLOTADO,EM CHAPAS,N/ARMADO,REFLET.QUADR.A<=45DM2"
70051099,"OUTS.VIDROS FLOTADOS,EM CHAPAS,N/ARMADO,CAMADA REFLET."
70052100,"CHAPAS/FLS.DE VIDRO FLOTADO,ETC.N/ARMADAS,CORADO,ETC."
70052101,"VIDRO OPTICO,FLOTADO,EM CHAPAS/FLS,N/ARMADO,CORADO/ETC."
70052102,"VIDRO FLOTADO,EM CHAPAS,N/ARMADO,CORADO,QUADR.A<=45DM2"
70052199,"OUTS.VIDROS FLOTADOS,EM CHAPAS/FLS.N/ARMADO,CORADO/ETC."
70052900,"OUTS.CHAPAS/FLS.DE VIDRO FLOTADO,DESBASTADO,ETC.N/ARMAD"
70052901,"OUTS.VIDROS OPTICOS,FLOTADOS,EM CHAPAS/FLS.N/ARMADOS"
70052902,"OUTS.VIDROS FLOTADOS,EM CHAPAS,N/ARMADOS,QUADR.A<=45DM2"
70052999,"OUTS.VIDROS FLOTADOS,EM CHAPAS/FLS.N/ARMADOS"
70053000,"CHAPAS/FLS.DE VIDRO FLOTADO E DESBASTADO/POLIDO,ARMADAS"
70053001,"VIDRO FLOTADO,EM CHAPAS,ARMADO,QUADRAD/RETANG.A<=45DM2"
70053099,"OUTS.VIDROS FLOTADOS,EM CHAPAS/FLS.ARMADOS"
70060000,"VIDRO VAZADO,ESTIRADO,FLOTADO OU DESBASTADO,TRABALHADO"
70060001,"VIDRO OPTICO,VAZADO/ESTIRADO/ETC.TRABALHADO,N/EMOLDURAD"
70060099,"VIDRO VAZADO/ESTIRADO/ETC.N/EMOLDURADO,BORDO BISELADO"
70071100,"VIDRO DE SEGURANCA,TEMPERADO,P/AUTOMOVEIS/BARCOS/ETC."
70071900,"VIDRO DE SEGURANCA,TEMPERADO,P/OUTS.USOS"
70072100,"VIDRO DE SEGURANCA,EM FLS.CONTRACOLADA,P/AUTOMOVEIS/ETC"
70072900,"VIDRO DE SEGURANCA,EM FLS.CONTRACOLADA,P/OUTS.USOS"
70080000,VIDROS ISOLANTES DE PAREDES MULTIPLAS
70080001,"VIDRO ISOLANTE,DE PAREDE MULTIPLA,DE BORDO BISELADO"
70080002,"VIDRO ISOLANTE,DE PAREDE MULTIPLA,RECURVADO"
70080099,"VIDRO ISOLANTE,DE PAREDE MULTIPLA,DE OUT.FORMA"
70091000,"ESPELHOS DE VIDRO,RETROVISORES,P/VEICULOS"
70099100,"ESPELHOS DE VIDRO,NAO EMOLDURADOS"
70099200,"ESPELHOS DE VIDRO,EMOLDURADOS"
70101000,"AMPOLA DE VIDRO,P/TRANSPORTE/EMBALAGEM"
70102000,"ROLHAS,TAMPAS E DISPOSITIVOS SEMELHS.DE VIDRO"
70109001,"GARRAFAS,GARRAFOES E FRASCOS,DE VIDRO"
70109002,"VASOS E POTES,DE VIDRO"
70109003,"EMBALAGEM TUBULAR DE VIDRO,P/MEDICAMENTOS"
70109004,"ROLHAS/TAMPAS/OUTS.DISPOSITIVOS,DE VIDRO"
70109099,"OUTS.RECIPIENTES DE VIDRO,P/TRANSPORTE/EMBALAGEM"
70109110,"GARRAFOES E GARRAFAS,DE VIDRO,CAPACIDADE>1 LITRO"
70109120,"FRASCOS,BOIOES,VASOS,ETC.DE VIDRO,CAPACIDADE>1L"
70109210,"GARRAFOES E GARRAFAS,DE VIDRO,033L<CAPACIDADE<=1L"
70109220,"FRASCOS,BOIOES,VASOS,ETC.DE VIDRO,033L<CAPACIDADE<=1L"
70109300,"GARRAFOES,GARRAFAS,FRASCOS,ETC.DE VIDRO,015L<C<=033L"
70109400,"GARRAFOES,GARRAFAS,FRASCOS,ETC.DE VIDRO,CAPACID<=015L"
70111001,"BULBO DE VIDRO,A BORO-SILICATO,P/LAMPADA VAPOR MERCURIO"
70111002,"BULBO DE VIDRO,P/LAMPADA FLUORESCENTE"
70111010,"AMPOLAS DE VIDRO,ETC.PARA LAMPADAS OU TUBOS DE DESCARGA"
70111021,"BULBOS DE VIDRO,DIAM<=90MM,P/LAMPADAS DE INCANDESCENCIA"
70111029,"AMPOLAS DE VIDRO,ETC.PARA LAMPADAS DE INCANDESCENCIA"
70111090,"OUTRAS AMPOLAS,ETC.DE VIDRO,PARA ILUMINACAO ELETRICA"
70111099,"OUTS.AMPOLAS/INVOLUCROS DE VIDRO,P/ILUMINACAO ELETRICA"
70112000,"AMPOLAS DE VIDRO,ETC.PARA TUBOS CATODICOS"
70112001,"AMPOLA DE VIDRO,P/TUBO CATODICO,TELEVISOR MONOCROMATICO"
