NCM,DESCRICAO
03054100,"SALMOES-DO-PACIFICO/ETC.DEFUMADOS,MESMO EM FILES"
03054200,"ARENQUES DEFUMADOS,MESMO EM FILES"
03054901,"BACALHAUS DEFUMADOS,MESMO EM FILES"
03054910,"BACALHAUS (GADUS) DEFUMADOS,MESMO EM FILES"
03054990,"OUTROS PEIXES DEFUMADOS,MESMO EM FILES"
03054999,"OUTS.PEIXES DEFUMADOS,MESMO EM FILES"
03055100,"BACALHAUS SECOS,MESMO SALGADOS,NAO DEFUMADOS"
03055901,"ANCHOVA SECA,MESMO SALGADA,NAO DEFUMADA"
03055902,"MERLUZA SECA,MESMO SALGADA,NAO DEFUMADA"
03055903,"SARDINHA SECA,MESMO SALGADA,NAO DEFUMADA"
03055904,"CACAO SECO,MESMO SALGADO,NAO DEFUMADO"
03055905,"PEIXES EM POSTAS,SECOS,MESMO SALGADOS,NAO DEFUMADOS"
03055910,"BACALHAUS POLARES,LINGS,ZARBOS,ETC.SECOS,NAO DEFUMADOS"
03055990,"OUTROS PEIXES SECOS,MESMO SALGADOS MAS NAO DEFUMADOS"
03055999,"BARBATANAS DE TUBARAO,SECAS,MESMO SALGADAS,N/DEFUMADAS"
03056100,"ARENQUES SALGADOS,N/SECOS,N/DEFUMADOS,E EM SALMOURA"
03056200,"BACALHAUS (GADUS) SALGADOS,N/SECOS,N/DEFUMADOS,SALMOURA"
03056201,"BACALHAUS EM POSTAS,SALGADAS,N/SECOS,N/DEFUM.E SALMOURA"
03056299,"OUTS.BACALHAUS SALGADOS,N/SECOS,N/DEFUMADOS,E SALMOURA"
03056300,"ANCHOVAS SALGADAS,N/SECAS,N/DEFUMADAS,E EM SALMOURA"
03056900,"OUTROS PEIXES SALGADOS,N/SECOS,N/DEFUMAD. E EM SALMOURA"
03056901,"MERLUZA SALGADA,N/SECA,N/DEFUMADA,E EM SALMOURA"
03056902,"SARDINHA SALGADA,N/SECA,N/DEFUMADA,E EM SALMOURA"
03056903,"CAUDAS DE CACAO,SALGADAS,N/SECAS,N/DEFUM.E EM SALMOURA"
03056904,"BARBATANAS DE TUBARAO,SALGADAS,N/SECAS,N/DEFUM.SALMOURA"
03056999,"OUTS.PEIXES SALGADOS,N/SECOS,N/DEFUM.PEIXES EM SALMOURA"
03061100,"LAGOSTAS (PALINURUS/PANULIRUS/JASUS SPP),CONGELADAS"
03061200,"LAVAGANTES ( HOMARDS )(HOMARUS SPP),CONGELADOS"
03061300,CAMAROES CONGELADOS
03061400,CARANGUEJOS CONGELADOS
03061900,"OUTS.CRUSTACEOS CONGELADOS,INCL.FARINHAS,P/ALIM.HUMANA"
03062100,"LAGOSTAS (PALINURUS/PANULIRUS/JASUS SPP),NAO CONGELADAS"
03062200,"LAVAGANTES ( HOMARDS )(HOMARUS SPP),NAO CONGELADOS"
